id,name,type1_id,type2_id,characteristics1_id,characteristics2_id,characteristics3_id,characteristics4_id,H,A,B,C,D,S,pokemon_id
1,メガフシギバナ,くさ,どく,あついしぼう,,,,80,100,123,122,120,80,3
2,メガリザードンX,ほのお,ドラゴン,かたいツメ,,,,78,130,111,130,85,100,6
3,メガリザードンY,ほのお,ひこう,ひでり,,,,78,104,78,159,115,100,6
4,メガカメックス,みず,,メガランチャー,,,,79,103,120,135,115,78,9
5,メガスピアー,むし,どく,てきおうりょく,,,,65,150,40,15,80,145,15
6,メガピジョット,ノーマル,ひこう,ノーガード,,,,83,80,80,135,80,121,18
7,メガフーディン,エスパー,,トレース,,,,55,50,65,175,105,150,65
8,メガヤドラン,みず,エスパー,シェルアーマー,,,,95,75,180,130,80,30,80
9,メガゲンガー,ゴースト,どく,かげふみ,,,,60,65,80,170,95,130,94
10,メガガルーラ,ノーマル,,おやこあい,,,,105,125,100,60,100,100,115
11,メガカイロス,むし,ひこう,スカイスキン,,,,65,155,120,65,90,105,127
12,メガギャラドス,みず,あく,かたやぶり,,,,95,155,109,70,130,81,130
13,メガプテラ,いわ,ひこう,かたいツメ,,,,80,135,85,70,95,150,142
14,メガミュウツーX,エスパー,かくとう,ふくつのこころ,,,,106,190,100,154,100,130,150
15,メガミュウツーY,エスパー,,ふみん,,,,106,150,70,194,120,140,150
16,メガデンリュウ,でんき,ドラゴン,かたやぶり,,,,90,95,105,165,110,45,181
17,メガハガネール,はがね,じめん,すなのちから,,,,75,125,230,55,95,30,208
18,メガハッサム,むし,はがね,テクニシャン,,,,70,150,140,65,100,75,212
19,メガヘラクロス,むし,かくとう,スキルリンク,,,,80,185,115,40,105,75,214
20,メガヘルガー,あく,ほのお,サンパワー,,,,75,90,90,140,90,115,229
21,メガバンギラス,いわ,あく,すなおこし,,,,100,164,150,95,120,71,248
22,メガジュカイン,くさ,ドラゴン,ひらいしん,,,,70,110,75,145,85,145,254
23,メガバシャーモ,ほのお,かくとう,かそく,,,,80,160,80,130,80,100,257
24,メガラグラージ,みず,じめん,すいすい,,,,100,150,110,95,110,70,260
25,メガサーナイト,エスパー,フェアリー,フェアリースキン,,,,68,85,65,165,135,100,262
26,メガヤミラミ,あく,ゴースト,マジックミラー,,,,50,85,125,85,115,20,302
27,メガクチート,はがね,フェアリー,ちからもち,,,,50,105,125,55,95,50,303
28,メガボスゴドラ,はがね,,フィルター,,,,70,140,230,60,80,50,306
29,メガチャーレム,かくとう,エスパー,ヨガパワー,,,,60,100,85,80,85,100,308
30,メガライボルト,でんき,,いかく,,,,70,75,80,135,80,135,310
31,メガサメハダー,みず,あく,がんじょうあご,,,,70,140,70,110,65,105,319
32,メガバクーダ,ほのお,じめん,ちからずく,,,,70,120,100,145,105,20,323
33,メガチルタリス,ドラゴン,フェアリー,フェアリースキン,,,,75,110,110,110,105,80,334
34,メガジュペッタ,ゴースト,,いたずらごころ,,,,64,165,75,93,83,75,354
35,メガアブソル,あく,,マジックミラー,,,,65,150,60,115,60,115,359
36,メガオニゴーリ,こおり,,フリーズスキン,,,,80,120,80,120,80,100,362
37,メガボーマンダ,ドラゴン,ひこう,スカイスキン,,,,95,145,130,120,90,120,373
38,メガメタグロス,はがね,エスパー,かたいツメ,,,,80,145,150,105,110,110,376
39,メガラティアス,ドラゴン,エスパー,ふゆう,,,,80,100,120,140,150,110,380
40,メガラティオス,ドラゴン,エスパー,ふゆう,,,,80,130,100,160,120,110,381
41,ゲンシカイオーガ,みず,,はじまりのうみ,,,,100,150,90,180,160,90,382
42,ゲンシグラードン,じめん,ほのお,おわりのだいち,,,,100,180,160,150,90,90,383
43,メガレックウザ,ドラゴン,ひこう,デルタストリーム,,,,105,180,100,180,100,115,384
44,メガミミロップ,ノーマル,かくとう,きもったま,,,,65,136,94,54,96,135,428
45,メガガブリアス,ドラゴン,じめん,すなのちから,,,,108,170,115,120,95,92,445
46,メガルカリオ,かくとう,はがね,てきおうりょく,,,,70,145,88,140,70,112,448
47,メガユキノオー,くさ,こおり,ゆきふらし,,,,90,132,105,132,105,30,460
48,メガエルレイド,エスパー,かくとう,せいしんりょく,,,,68,165,95,65,115,110,475
49,メガタブンネ,ノーマル,フェアリー,いやしのこころ,,,,103,60,126,80,126,50,531
50,メガディアンシー,いわ,フェアリー,マジックミラー,,,,50,160,110,160,110,110,719
